GEOID	POP10	HU10	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                       
21777	1470	528	5447272	2348483	       2.103	       0.907	 39.271310	 -77.519376                                                                                                                         
21778	1094	438	45182828	1156015	      17.445	       0.446	 39.615898	 -77.334303                                                                                                                        
21779	983	394	23202464	0	       8.959	       0.000	 39.426808	 -77.651631                                                                                                                               
21780	1625	661	58239532	39452	      22.486	       0.015	 39.677417	 -77.465582                                                                                                                          
21781	136	7	656097	0	       0.253	       0.000	 39.571073	 -77.759648                                                                                                                                   
21782	4097	1730	77664726	5502596	      29.987	       2.125	 39.456811	 -77.762346                                                                                                                       
21783	9130	3522	116295091	140928	      44.902	       0.054	 39.651829	 -77.553549                                                                                                                       
21784	37941	13454	149010950	5264230	      57.533	       2.033	 39.401084	 -76.973736                                                                                                                    
21787	10693	4171	148804253	629914	      57.454	       0.243	 39.677630	 -77.172591                                                                                                                      
21788	11622	4718	172898559	1379503	      66.757	       0.533	 39.589979	 -77.413861                                                                                                                     
21790	100	44	10146412	34788	       3.918	       0.013	 39.260865	 -77.484901                                                                                                                            
21791	5281	2053	127672231	204244	      49.295	       0.079	 39.533255	 -77.188143                                                                                                                       
21793	9775	3591	52831424	36425	      20.398	       0.014	 39.491577	 -77.346614                                                                                                                         
21794	2434	777	22605176	84882	       8.728	       0.033	 39.298422	 -76.966129                                                                                                                          
21795	9233	3958	78228891	4404361	      30.204	       1.701	 39.580608	 -77.823698                                                                                                                       
21797	8839	3079	112103676	602122	      43.283	       0.232	 39.328183	 -77.071411                                                                                                                       
21798	2345	896	42827079	152589	      16.536	       0.059	 39.536511	 -77.302603                                                                                                                         
21801	29961	11922	109651385	3756948	      42.337	       1.451	 38.382300	 -75.639577                                                                                                                    
21802	89	0	136027	0	       0.053	       0.000	 38.344771	 -75.582696                                                                                                                                    
21804	38491	16184	192412299	1398919	      74.291	       0.540	 38.314082	 -75.532106                                                                                                                    
21810	487	221	25003387	289819	       9.654	       0.112	 38.300747	 -75.711993                                                                                                                          
21811	22550	14832	260737100	32252178	     100.671	      12.453	 38.318877	 -75.216741                                                                                                                   
21813	2852	1345	64314060	18168184	      24.832	       7.015	 38.424217	 -75.155464                                                                                                                      
21814	380	224	9597311	7762406	       3.706	       2.997	 38.295829	 -75.897056                                                                                                                          
21817	5236	2897	37916876	10163392	      14.640	       3.924	 37.981029	 -75.836073                                                                                                                      
21821	991	734	28297631	12589440	      10.926	       4.861	 38.164595	 -75.916660                                                                                                                        
21822	1930	827	73145717	2284863	      28.242	       0.882	 38.279782	 -75.636782                                                                                                                        
21824	198	181	5692314	1189430	       2.198	       0.459	 37.980774	 -76.036546                                                                                                                          
21826	4837	2028	11422761	165880	       4.410	       0.064	 38.316891	 -75.626502                                                                                                                        
21829	527	247	47170995	5926773	      18.213	       2.288	 38.097659	 -75.371456                                                                                                                         
21830	4026	1591	81112328	2294778	      31.318	       0.886	 38.402166	 -75.737946                                                                                                                       
21835	507	235	20827542	340679	       8.042	       0.132	 38.531887	 -75.948459                                                                                                                          
21837	2614	1119	115023862	8456657	      44.411	       3.265	 38.454572	 -75.766315                                                                                                                      
21838	1736	894	138436073	18580362	      53.450	       7.174	 38.017906	 -75.737920                                                                                                                      
21840	375	276	13555319	19331009	       5.234	       7.464	 38.248736	 -75.900009                                                                                                                        
21841	860	394	79837188	2394949	      30.825	       0.925	 38.246944	 -75.295806                                                                                                                         
21842	11089	32844	23029459	17197937	       8.892	       6.640	 38.350536	 -75.128880                                                                                                                    
21849	3238	1375	90013651	345848	      34.754	       0.134	 38.377261	 -75.461810                                                                                                                        
21850	2790	1279	80528167	180164	      31.092	       0.070	 38.361731	 -75.397078                                                                                                                        
21851	7315	3365	273836833	5198199	     105.729	       2.007	 38.079871	 -75.542418                                                                                                                      
